id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
94537,599,11/13/2013 11:28,Civic Center BART (7th at Market),72,11/13/2013 11:38,Howard at 2nd,63,547,Subscriber,94117
95516,203,11/14/2013 7:59,Beale at Market,56,11/14/2013 8:02,Spear at Folsom,49,519,Subscriber,94105
96422,560,11/14/2013 17:13,Commercial at Montgomery,45,11/14/2013 17:22,San Francisco Caltrain (Townsend at 4th),70,436,Subscriber,94061
97320,961,11/15/2013 11:10,Civic Center BART (7th at Market),72,11/15/2013 11:26,Market at 4th,76,593,Subscriber,94109
98151,1073,11/15/2013 21:00,Commercial at Montgomery,45,11/15/2013 21:18,San Francisco Caltrain (Townsend at 4th),70,441,Subscriber,94002
99122,1337,11/17/2013 13:37,San Francisco Caltrain (Townsend at 4th),70,11/17/2013 14:00,Harry Bridges Plaza (Ferry Building),50,312,Subscriber,94158
100107,570,11/18/2013 13:15,2nd at South Park,64,11/18/2013 13:25,5th at Howard,57,617,Subscriber,94131
100991,699,11/19/2013 8:35,Golden Gate at Polk,59,11/19/2013 8:47,San Francisco Caltrain (Townsend at 4th),70,338,Subscriber,94109
101918,830,11/20/2013 9:03,Harry Bridges Plaza (Ferry Building),50,11/20/2013 9:17,San Francisco Caltrain (Townsend at 4th),70,327,Subscriber,94577
102876,533,11/21/2013 8:38,Steuart at Market,74,11/21/2013 8:47,2nd at Townsend,61,425,Subscriber,94122
103745,233,11/21/2013 18:07,Market at 4th,76,11/21/2013 18:11,Market at Sansome,77,420,Subscriber,94107
104692,509,11/22/2013 13:23,Temporary Transbay Terminal (Howard at Beale),55,11/22/2013 13:32,San Francisco Caltrain (Townsend at 4th),70,611,Subscriber,94596
105669,3052,11/23/2013 12:38,Harry Bridges Plaza (Ferry Building),50,11/23/2013 13:29,Embarcadero at Sansome,60,474,Customer,2451
106585,1036,11/25/2013 7:07,San Francisco Caltrain (Townsend at 4th),70,11/25/2013 7:24,Market at Sansome,77,416,Subscriber,94089
107525,394,11/25/2013 17:07,Townsend at 7th,65,11/25/2013 17:13,2nd at Townsend,61,426,Subscriber,94403
108501,494,11/26/2013 11:30,San Francisco Caltrain 2 (330 Townsend),69,11/26/2013 11:38,Market at 4th,76,386,Subscriber,94107
109407,1211,11/27/2013 8:37,South Van Ness at Market,66,11/27/2013 8:57,Spear at Folsom,49,621,Subscriber,94105
110311,167,11/28/2013 12:21,San Jose Diridon Caltrain Station,2,11/28/2013 12:24,San Jose Diridon Caltrain Station,2,235,Subscriber,94102
111293,638,11/30/2013 13:13,Embarcadero at Vallejo,48,11/30/2013 13:23,Embarcadero at Sansome,60,539,Customer,19146
112229,514,12/2/2013 8:50,San Francisco Caltrain (Townsend at 4th),70,12/2/2013 8:58,Harry Bridges Plaza (Ferry Building),50,474,Subscriber,94403
113192,604,12/3/2013 6:43,Beale at Market,56,12/3/2013 6:53,San Francisco Caltrain (Townsend at 4th),70,574,Subscriber,94107
114131,1064,12/3/2013 17:49,Townsend at 7th,65,12/3/2013 18:07,Embarcadero at Sansome,60,355,Subscriber,94707
115075,675,12/4/2013 13:51,San Francisco Caltrain (Townsend at 4th),70,12/4/2013 14:02,Embarcadero at Bryant,54,626,Subscriber,94105
116064,533,12/5/2013 8:50,2nd at South Park,64,12/5/2013 8:59,Post at Kearney,47,360,Subscriber,94107
117030,465,12/5/2013 21:43,Market at 4th,76,12/5/2013 21:51,Spear at Folsom,49,425,Subscriber,94105
117983,299,12/6/2013 18:07,Townsend at 7th,65,12/6/2013 18:12,San Francisco Caltrain (Townsend at 4th),70,352,Subscriber,94158
119001,92,12/9/2013 8:08,Townsend at 7th,65,12/9/2013 8:09,Townsend at 7th,65,409,Subscriber,94103
120052,458,12/9/2013 22:28,5th at Howard,57,12/9/2013 22:36,2nd at South Park,64,462,Subscriber,94105
121054,445,12/10/2013 18:09,2nd at Folsom,62,12/10/2013 18:16,Harry Bridges Plaza (Ferry Building),50,578,Subscriber,94904
122000,283,12/11/2013 14:58,Embarcadero at Bryant,54,12/11/2013 15:02,2nd at South Park,64,536,Subscriber,94107
122995,315,12/12/2013 9:49,Embarcadero at Vallejo,48,12/12/2013 9:54,Clay at Battery,41,611,Subscriber,94925
123971,257,12/13/2013 7:29,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 7:33,Clay at Battery,41,397,Subscriber,94105
124945,729,12/13/2013 17:23,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 17:35,San Francisco Caltrain (Townsend at 4th),70,275,Customer,94403
